Episode,DQN,DDQN,PERDQN,PERDDQN
688,14.0,12.0,9.0,15.0
689,2.0,15.0,17.0,10.0
690,5.0,13.0,15.0,7.0
691,18.0,19.0,13.0,17.0
692,15.0,5.0,16.0,15.0
693,18.0,21.0,13.0,8.0
694,13.0,18.0,8.0,11.0
695,22.0,17.0,10.0,14.0
696,12.0,11.0,14.0,18.0
697,17.0,15.0,18.0,18.0
698,20.0,6.0,17.0,17.0
699,21.0,16.0,14.0,15.0
700,16.0,14.0,8.0,15.0
701,12.0,16.0,19.0,15.0
702,10.0,19.0,13.0,17.0
703,17.0,9.0,19.0,4.0
704,12.0,18.0,10.0,14.0
705,17.0,19.0,16.0,20.0
706,10.0,14.0,17.0,18.0
707,13.0,20.0,18.0,10.0
708,17.0,10.0,17.0,16.0
709,18.0,11.0,16.0,11.0
710,11.0,23.0,13.0,18.0
711,17.0,21.0,11.0,15.0
712,15.0,11.0,8.0,19.0
713,14.0,18.0,16.0,7.0
714,16.0,23.0,13.0,14.0
715,9.0,17.0,13.0,8.0
716,16.0,15.0,15.0,16.0
717,21.0,21.0,10.0,10.0
718,17.0,16.0,9.0,21.0
719,12.0,16.0,14.0,13.0
720,20.0,17.0,17.0,13.0
721,20.0,15.0,12.0,19.0
722,10.0,16.0,17.0,14.0
723,19.0,19.0,10.0,15.0
724,13.0,16.0,16.0,15.0
725,20.0,10.0,11.0,19.0
726,16.0,15.0,17.0,13.0
727,19.0,15.0,15.0,19.0
728,15.0,9.0,16.0,17.0
729,19.0,16.0,10.0,16.0
730,17.0,20.0,12.0,21.0
731,14.0,18.0,12.0,12.0
732,17.0,15.0,8.0,16.0
733,19.0,17.0,11.0,8.0
734,9.0,13.0,11.0,15.0
735,15.0,15.0,17.0,11.0
736,13.0,16.0,14.0,20.0
737,25.0,12.0,15.0,23.0
738,17.0,18.0,13.0,19.0
739,14.0,16.0,15.0,15.0
740,19.0,19.0,20.0,15.0
741,19.0,20.0,12.0,16.0
742,16.0,16.0,14.0,18.0
